"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
2859035022369
2859035022853
2859035040225
2859035042139
2859035042293
2859035050277
2859035090329
2859035090634
2859035090976
2859035090984
2859035119510
2859036400256
2859036402195
2859036404250
2859036404740
2859036413316
2859036413727
2859037550529
2859038329614
2859038632177
2859039319041
2859039935412
2859042925342
2859045218177
2859046535510
2859047746023
2859048346011
285907778018
285909203613
285909258388
285909361126
285919062236
285924831018
285928235016
285931401229
285931401412
285932402324
285933013618
285933033019
285933600358
285934013063
285934022232
285934022942
285934030474
285935034920
285935042293
285935343527
285936404250
285936408383
285937017544
285949666819
285949835511
286001212
2861001807400
2861001900408
2861001900503
2861001903112
2861001903259
2861002001557
2861002003238
2861002003497
2861002101327
2861002101673
2861002102223
2861002102416
2861002103151
2861002103730
2861002107034
2861002109405
2861002113170
2861002115164
2861002115316
2861002116045
2861002116744
2861002117095
2861002117454
2861002117559
2861002117710
2861002117842
2861002118745
2861002200074
2861002201154
2861004000320
2861004001732
2861004003050
2861004003403
2861004003874
2861004004131
2861004004892
2861004005220
2861004005630
2861004006097
2861004006192
2861004006350
2861004100357
2861004100381
2861004102699
2861004301922
2861004302340
2861004416394
2861004416896
2861004421085
2861004505041
2861004505059
2861004505075
2861008001088
2861008008131
2861008901774
2861010342300
2861011805206
2861011917630
2861011925166
2861012310004
2861012718070
2861012820851
2861013909638
2861014012620
2861014420581
2861016038823
2861016947020
2861017115214
2861017608413
2861018025818
2861019013805
2861019217602
286101925463
2861019820821
2861020242418
2861020310810
2861020351615
2861020507001
2861020728600
2861021011668
286102103015
286102110763
286102114269
286102115892
286102117710
286102118126
2861021709605
2861022524639
2861022634610
286104004123
286104005439
286104005868
286104501006
2861061129417
286108800673
286112618331
286118040403
286118931376
286119349028
2861206000793
286120711426
2862004701786
2862004901751
2862004901893
2862004903289
2862004903502
2862004904609
2862004905587
2862004907459
2862004908599
2862004910126
2862005000424
2862005001409
2862005005348
2862005006078
2862005006086
2862005006382
2862005006647
2862005007381
2862010002486
2862011000240
2862011000521
2862021243249
2862022922458
2862024918033
2862027540207
2862027830008
2862028329804
2862028363006
2862032122206
2862032431808
2862032548008
2862036660003
2862036806008
286204910933
286205001692
286205005700
2862050060862
286205311095
286215201932
286225050133
286235053014
286236922800
2863
2863000101357
2863000101582
2863000101591
2863000102956
2863000103166
2863000103270
2863000103851
2863000106871
2863000107538
2863000108218
2863000108651
2863000109548
2863000110318
2863000115708
2863000115823
2863000116891
2863000120063
2863000120231
2863000120369
2863000121512
2863000210823
2863000213308
2863000213750
2863000235312
2863000270469
2863000280558
2863000280646
2863000290166
2863000321552
2863000519150
2863000791220
2863000817208
286300100726
286300104407
286300105385
286300106684
286300108506
2863002300562
286300270092
286300270824
286300310204
2863007705356
2863007708254
2863007802606
2863007808757
2863007901503
2863007902600
2863007903152
2863007905758
2863007910152
2863007910951
2863007911708
2863007914605
2863008200588
2863008201677
2863008202146
2863008300487
2863008304560
2863008310118
2863008311754
2863008312056
2863008320337
2863008406300
2863008408100
2863008408551
2863008500560
2863008500682
2863008503815
2863008505741
2863008508802
2863008600508
2863008730697
2863008814935
2863008900535
2863010701509
2863013434825
2863014537921
2863014835406
2863015203043
2863015325261
2863015540797
2863017824601
2863019253105
2863024151006
2863025114651
2863025402152
2863028706707
2863029801511
2863031070206
2863031130002
2863032652853
2863033141606
2863034040216
2863035731251
2863041138400
2863041734804
2863045410014
286304547719
2863047000500
2863047000907
2863047001455
2863047002350
2863047011007
2863047013058
2863047103314
2863048109126
286306206509
2863079016301
286307910650
286308206738
286308309734
286308310342
286308312634
2863084006300
286308504355
286308509616
286308703379
286308740430
286322254006
286328931513
286329073
286330451907
286336336052
286341851405
286347100901
286347108829
2864 / 355 / 38502
2864000200199
2864000215808
2864000217403
2864000221994
2864000223347
2864000223740
2864000225156
2864000225203
2864000225670
2864000225688
2864000307172
2864000311611
2864000311920
2864000313094
2864000313883
2864000314325
2864000316853
2864000316926
2864000317167
2864000410664
2864000410924
2864000410990
2864000609288
2864000703148
2864000705615
2864000705851
2864000706879
2864000706900
2864000707214
2864000709441
286400224147
286400311824
286400313621
286400315270
286400316351
286400316595
286400407520
286400410053
286400410990
286400700514
2864007300346
2864007800927
2864007802267
2864008018473
2864010008427
2864022348600
2864022354609
2864028969006
2864032420419
2864034755273
2864037415618
2864044645016
2864044655817
2864078016350
2864096834221
286410008427
286420706612
286427226413
2865
2865/013/64608
2865000467124
2865000785005
2865001375506
286500151690
2865001680665
2865002679019
2865003413944
2865003875175
286500434433
2865004379026
2865004677529
2865004902380
2865004904835
2865004953045
2865005145565
2865006434604
286500675066
2865009105441
2865009105459
2865009275641
2865009842508
2865010073794
2865011165070
2865012667827
2865015511517
2865015676908
2865016231976
2865017357410
2865018361446
2865018660792
2865019729504
2865020/46725
2865020022939
2865020050101
2865020101082
2865020101880
2865020102652
2865020107664
2865020109128
2865020109378
2865020111148
2865020113375
2865020113489
2865020115006
2865020149887
2865020152123
2865020152308
2865020157465
2865020160807
2865020161709
2865020163509
2865020165489
2865020171606
2865020180542
2865020192863
2865020208866
2865020209963
2865020209998
2865020210014
2865020211208
2865020212345
2865020221419
2865020224373
2865020230371
2865020230410
2865020248890
2865020248938
2865020252984
2865020260703
2865020267026
2865020288208
2865020296871
2865020301258
2865020317150
2865020336130
2865020336372
2865020338069
2865020338077
2865020347750
2865020352269
2865020360054
2865020363767
2865020368030
2865020377208
2865020378362
2865020390878
2865020394218
2865020401647
2865020402392
2865020404770
2865020405942
2865020410456
2865020415451
2865020417590
2865020423201
2865020424939
2865020426213
2865020426623
2865020435703
2865020439345
2865020440792
2865020444376
2865020450542
2865020454137
2865020464641
2865020465032
2865020467259
2865020467506
2865020477867
2865020501558
2865020503020
2865020505449
2865020512014
2865020512900
2865020522233
2865020529342
2865020529933
2865020533035
2865020536933
2865020541130
2865020544568
2865020546417
2865020548554
2865020555160
2865020558050
2865020558726
2865020561470
2865020568242
2865020568276
2865020582636
2865020588054
2865020594559
2865020596804
2865020601208
2865020630664
2865020705070
2865020732401
2865020741276
2865020836765
2865020988689
2865021117207
2865021185016
2865021193057
2865021215564
2865021225998
2865021244222
2865021300754
2865021309013
2865021311556
2865021385854
2865021432201
2865021440105
2865021446706
2865021455103
2865021457009
2865021465007
2865021473505
2865021506056
2865021576905
2865021580432
2865021593307
2865021632406
2865021637178
2865021640778
2865021644936
2865021646307
2865021661425
2865021688555
2865021694007
2865021731504
2865021815260
2865021849605
2865021883204
2865022784715
2865022836056
2865023707541
2865023877727
2865024327079
2865024425627
2865025525926
2865025999557
2865026361769
2865026361785
2865026668571
2865026735055
2865029008108
2865029010546
2865030039138
2865030107850
2865030442540
2865030553974
2865031887608
2865032533217
286503310
2865033771403
2865035240014
2865036232183
2865037858136
2865038075175
2865038834919
2865039001608
2865039367949
2865040351311
2865040362177
2865040988398
286504107241
2865041226565
2865043229001
2865043242951
2865043630281
2865044560013
2865044686252
2865044852244
2865065346452
286507330858
286511346584
286514956762
286515139759
286519508750
286520130005
286520149887
286520158539
286520183935
286520184152
286520203770
286520222059
286520248740
286520249372
286520303849
286520326009
286520328599
286520334304
286520368302
286520401575
286520402270
286520404746
286520406823
286520410289
286520410448
286520425654
286520437909
286520441591
286520450542
286520467187
286520500687
286520500997
286520502801
286520508187
286520539023
286520549555
286520549589
286520582823
286520592331
286520596975
286520741808
286521116007
286521132006
286521253659
286521420457
286521444383
286521591017
286521611685
286521643007
286524060590
286525473004
286529848003
286532643206
286533771403
286533928723
286538987316
286541384087
286547770752
28661
2869002510024
2869002610405
2869002611300
2869002612005
2869002612502
2869002618294
2869002639101
2869002641709
2869002803509
2869002804325
2869002805270
2869002805607
2869002808318
2869002813720
2869002814754
2869002816120
2869002816708
2869003000596
2869003003000
2869003003067
2869003007279
2869003007333
2869003007439
2869003007630
2869004204040
2869004311095
2869004311245
2869004402207
2869004410600
2869004835708
2869006603506
2869006850072
2869006850862
2869006851225
2869006853018
2869006853865
2869006853938
2869006854452
2869006855688
2869006856916
2869006858126
2869010124524
2869012206002
2869013711005
2869014500202
2869019665409
2869019917500
286902609995
286902734803
2869027815814
286902808110
286902813192
286903005479
2869032418533
2869035631000
2869036215119
286904311743
286904410600
286906603305
28693
286942323036
2870000601402
2870000601548
2870000602001
2870000602210
2870000702097
2870000702917
2870000703101
2870000900558
2870000905722
2870000906112
2870004909169
2870005003255
2870005004457
2870005004762
2870005009285
2870005016793
2870005017315
2870005021160
2870005021441
2870005022628
2870005023599
2870005101798
2870005107646
2870005109230
2870005233817
2870005233946
2870005327746
2870005329419
2870007002453
2870007003868
2870007006048
2870007006520
2870007009187
2870007011828
2870007012222
2870007013063
2870007013691
2870007017104
287000702974
2870007309818
2870007310900
2870007311395
2870007311984
2870007408544
2870007409538
2870007410988
2870007419242
2870009217810
2870009302340
2870009501560
2870009506826
2870009508518
2870009511275
2870009511362
2870009517455
2870009542215
2870009548438
2870009581002
2870010263731
2870013116184
2870014518200
2870015112009
2870016553913
2870017012108
2870018873690
2870021240067
2870024033602
2870024457407
2870025523108
2870032639910
287003430902
2870034556038
2870037230171
287004014
287004047
2870042444807
2870043143893
2870043338510
2870043344116
287004581
287005007513
287005022397
287005318503
287005404422
287007000477
287007011908
287007030007
287007300488
287009302340
287009508287
287009518900
287009545066
287009546210
287009580495
287009587395
287020812765
287022879803
287027644817
28706P
2871000966967
2871001656842
2871004270914
2871004354707
2871004364151
2871004455447
2871005055342
2871005062147
2871007177355
2871007341831
2871009654123
2871012046335
2871012054005
2871012673274
2871013374952
2871014468501
2871016572459
2871016661017
2871016677993
2871017458308
2871017666916
2871018959234
2871020652909
2871021271867
2871021666994
2871023346906
2871023843903
2871024050805
2871024154860
2871026652025
2871028555456
2871030208608
2871030221003
2871030319801
2871030403104
2871030406606
2871030410305
2871030503103
2871030509501
2871030709309
2871030907009
2871030908508
2871031102606
2871031202400
2871031300611
2871031303029
2871031303655
2871031500012
2871031505200
2871031805003
2871031906153
2871032000193
2871032000432
2871032000490
2871032100890
2871032101277
2871032200982
2871032301523
2871032613205
2871032704207
2871032707902
2871032804202
2871032804403
2871032806406
2871032810603
2871032814300
2871032901316
2871033001503
2871033001552
2871033002048
2871033100074
2871033100636
2871033100643
2871033100781
2871033101105
2871033101314
2871033208906
2871033403900
2871033500605
2871033504900
2871033505706
2871033601400
2871033607003
2871033704005
2871033803602
2871033817005
2871033904607
2871033915008
2871034203302
2871034400211
2871034400646
2871034600625
2871034901352
2871034902202
2871034905908
2871035007522
2871035301303
2871035500428
2871035502107
2871035502260
2871035800908
2871036110514
2871036404300
2871036404455
2871036704800
2871037129602
2871037147402
2871037202826
2871037300205
2871037327206
2871037352601
2871037474007
2871037508006
2871037605008
2871038500821
2871038500968
2871038508039
2871039030055
2871039410371
2871039450493
2871040232020
2871040723873
2871040730677
2871040802815
28710412046
2871041218100
2871041305052
2871042500516
2871042700644
287104465003
2871045041403
2871045043157
2871046800106
2871046804909
2871046829608
2871046852100
2871049109979
2871049112838
287108660233
287109646930
287110661472
287115471107
287124576931
287125370913
287125653198
287125946753
287130507905
287130606102
287131104054
287132100523
287132806004
287133100636
287133208906
287133400606
287133405304
287137507711
287138600735
287142505101
287142612604
287145010213
287145050413
287145052690
287149103125
287149300059
28717
28719
287209323
2874003003182
2874003003778
2874003838675
2874003840331
2874005000066
2874005100980
2874005107401
2874005114881
2874005118924
2874005118981
2874007201846
2874007300250
2874007300865
2874007301638
2874007303567
2874007303663
2874007304096
2874007306561
2874007307223
2874007307310
2874007308627
2874007311894
2874007312499
2874007314714
2874007314755
2874007316201
2874009111980
2874009201753
2874009202739
2874009306616
2874009306649
2874009306982
2874009307239
2874009310198
2874009310486
2874009314214
2874009315586
2874009700687
2874012105929
2874012522300
2874013035767
2874013717004
2874016930152
2874018412007
2874019014824
2874021803279
2874022013908
2874023612318
2874025033673
2874025851025
2874028407385
287403003680
2874033827619
2874034554619
2874036102033
2874036401107
2874036912630
287403734065
287403737402
287403835447
2874039548221
2874040052114
2874043719834
2874043822252
287404600324
287405105650
287405120258
287412630903
287414435588
287432639673
287434052807
287439347209
2875
28755
28757
287573
2876000101330
2876000101580
2876000102147
2876000103252
2876000103701
2876000105166
2876000216038
2876000304332
2876000305165
2876000305391
2876000305413
2876000309425
2876000309579
2876000310508
2876000312956
2876000314255
2876000316345
2876000317064
2876000703359
2876000703699
287600100200
2876003000841
2876003002239
287600300871
287600315739
2876005004213
2876005092660
2876005092873
2876005093380
2876011106614
2876011416363
2876011608914
2876012711114
2876013210461
2876014410709
2876015606064
2876016605568
2876016801716
2876017607318
2876019707030
2876019814252
2876042003636
287609042023
287613905523
287619707022
287637782
2877002505629
2877002507905
2877002508296
2877002508575
2877002509894
2877002510684
2877002511765
2877002520733
2877002521460
2877002524038
2877002524133
2877002526976
2877002527215
2877002528400
2877002529651
2877002530148
2877002530244
2877002530404
2877002701100
2877002702022
2877003000064
2877003000072
2877003000683
2877003001467
2877003006623
2877003008350
2877003008712
2877005201909
2877005201940
2877005210692
2877005211513
2877007108222
2877007307639
2877007406936
2877007900345
2877007900546
2877007900902
2877007901017
2877007901082
2877007902556
2877007903050
2877008001575
2877008002828
2877008004490
2877008006040
2877008006112
2877008006138
2877008006145
2877008006427
2877008007320
2877008008293
2877008009068
2877008009939
2877008010054
2877008010528
2877008023515
2877008025349
2877008025487
2877008025701
2877008100804
2877008101007
2877008101015
2877008102073
2877008102081
2877008102152
2877008102483
2877008102539
2877008103628
2877008103831
2877008103978
2877008104059
2877008104652
2877008400092
2877008400355
2877008400603
287702509020
287702529179
287703007052
2877030884142
2877032044424
2877032045897
2877032084819
2877040314253
2877040534549
2877040819537
2877040824446
2877040950121
2877041614114
2877041910041
2877043624001
2877044118174
2877044201807
2877044212868
2877044714727
2877045145762
2877045436629
2877045443951
2877046317807
2877046419839
2877046748105
2877047344701
2877049033648
2877049930845
2877049951453
287707402212
287707406889
287707900902
287707903524
287708001220
287708006547
287708007266
287708023188
287708104059
287708104477
2877087106040
287709103129
287730509171
287730884142
287740019118
287741410029
287742401363
287743906237
287747541736
287749150083
287749841159
287753201902
28777
28779
2878002552860
2878003412503
287800341490
2878003414902
2878003423986
2878003432000
2878003438804
2878003439007
2878003440201
2878003450405
2878003451205
2878003451802
2878003451908
2878003550203
2878003550308
2878003552109
2878003554006
2878003571608
2878003641150
2878003704850
2878003711052
2878003724353
2878003742652
2878004248320
2878004271879
2878004432506
2878004835005
2878004835502
2878005831599
2878007624873
2878009233101
2878009240909
2878009446988
2878009447154
2878009450805
2878009456463
2878009465661
2878009576301
2878009905600
2878010418999
2878010426300
2878010508807
2878010514806
2878010525604
2878010712206
2878010801408
2878010805709
2878010814800
2878011007401
2878011009156
2878011022808
2878011029600
2878011143200
2878011143602
2878011202205
2878011302304
2878011308406
2878011327102
2878011327303
2878011407600
2878011507804
2878011605000
2878011704801
2878011711500
2878011724103
2878011806001
2878011806905
2878012101216
2878012201002
2878012300803
2878012318900
2878012700847
287801428595
2878015406406
2878015500529
2878015606225
2878015700909
2878017101244
2878017845010
2878019924009
2878020108297
2878023535601
2878024516013
2878024951609
2878026305615
2878028856109
287803432000
287803441202
287803571608
287803636058
2878036462804
287803670161
2878036871106
2878037201221
2878037202319
2878039957543
2878042090450
287804282397
287804290354
287804307001
2878043122056
2878044042248
2878045371654
2878046311410
2878047429254
2878047616414
2878047912445
2878048975384
2878049234314
287809119702
287809219400
287809459457
287809582156
287811332100
287811705205
287812320306
287815600202
287820666613
287826942906
287841906709
287842929609
287843224406
287845129203
287873438
28790
2879005100188
2879005100709
2879005101155
2879005101679
2879005102094
2879005102420
2879005508549
2879006000811
2879043707052
2879046210515
287905103534
287920000968
287920744351
2880
288000267710
28800084286
2880008438052
2880008441521
2880028005106
2880028005905
2880028006702
2880028007701
2880028012307
2880028019601
2880028022500
2880028201256
2880028817457
2880028819161
2880028824063
2880028825386
2880028832142
2880028834129
2880030601552
2880031029861
2880034720996
2880034813804
2880035618001
2880039313801
2880039919516
2880040043794
2880041929450
2880042201506
2880045208801
288008823773
288008826149
288026306433
288028004000
288028017407
288028023703
288028826547
288028830607
288030144709
288031328554
288033516224
288036501206
288039815011
288041310280
288041738687
288041916206
288092246
2881006003696
2881006003734
2881006003874
2881006009561
2881006013246
2881006013501
2881010220658
2881011101473
2881014321504
2881014400320
2881014406956
2881014517990
2881016249037
2881016312020
2881017152606
2881019036600
2881022031666
2881022508518
2881022937006
2881023130505
2881043200374
288106007519
288106009185
288106013221
288106013246
288122518705
288123512514
288140100970
288145800095
28816
288173816
2882000010339
2882000106568
2882000106981
2882000107181
2882000108088
2882000110996
2882000113374
2882000114359
2882000114367
2882000116303
2882000116805
2882000118144
2882000201132
2882000201868
2882000203464
2882000205626
2882000207353
2882000209163
2882000213103
2882000213160
2882000215235
2882000300721
2882000300992
2882000311979
2882000315053
2882000500709
2882000500945
2882000501792
2882000510165
2882000510567
2882000512480
2882000514303
2882000514337
2882000530433
2882000600681
2882000602360
2882000602561
2882000602714
2882000603513
2882000604017
2882000604218
288200203925
288200204473
288200211983
288200214305
2882005020134
288200514303
288200514337
2882005209812
2882005218387
2882019943506
2882024921788
2882026002802
2882026252788
2882028742032
2882029630765
2882030579513
2882037150600
288206131995
288224120012
288224182064
288230473
288231440375
288237612209
2883006604388
2883008011814
2883008018148
2883008333406
2883008337706
2883008348700
2883008370780
2883008425354
2883008444558
2883008478653
2883008501636
2883008503114
2883008509128
2883008512567
2883008520583
2883008522472
2883008523047
2883008523992
2883008524360
2883008525361
2883008803779
2883008813103
2883008813144
2883008816998
2883008817093
2883008817364
2883008818173
2883008818261
2883008819623
2883008819973
2883008820281
2883008820409
2883009903748
2883009912531
2883009913913
2883009913997
2883009914390
2883009914914
2883009915340
2883009915850
2883011742003
2883014462422
2883021333007
2883023939052
2883024428404
2883026141405
2883026216707
2883027155815
2883033446803
2883033941552
2883037809015
2883039745720
288308316463
288308347602
288308400017
288308424902
288308501669
288308804006
288309906445
28832
288373004278
2884
2884006001515
2884006002171
2884006002590
2884006003989
2884006005012
2884006005576
2884006005932
2884006005981
2884006007448
2884006008311
2884006009137
2884006050891
2884006051800
2884006052149
2884006052454
2884006052769
2884006054141
2884006055721
2884006055770
2884006056898
2884006059201
2884006059808
2884006059849
2884006061696
2884006062043
2884006062203
2884006062260
2884006064932
2884006202067
2884006204742
2884006205124
2884006300540
2884006301029
2884006301915
2884006304193
2884006304770
2884006304941
2884006705398
2884006709908
2884006710152
2884006719626
2884006837526
2884006844710
2884006851655
2884007056360
2884020303329
2884020411413
2884022825389
2884031330610
2884032301028
2884034830213
2884036630220
2884040905434
2884043234690
2884044317812
288406057491
288406063060
288406065021
288406303528
288406706373
288406717383
288406845699
288407806055
288407812908
288410020
288428411054
28844
288455786
2885006031131
2885006104203
2885006400735
2885006801127
2885008114108
2885008127352
2885008128009
2885008129250
2885008131205
2885009400911
2885009602335
2885013023702
2885013232003
2885016879006
2885018818002
2885033114003
2885033370025
2885033763028
2885034449208
2885036008048
2885038024006
2885048027006
2885048076762
2885048137107
2885048143557
2885048160000
2885048213709
2885048232003
2885048259407
2885048263240
2885048264708
2885048275751
2885048300304
2885048369707
288506705577
288506801544
288506930135
288508129758
2885085083200
288508816011
288509404893
288509601615
288509601990
288512854029
288513276021
288518275032
288536610020
28854
288548259608
288552890
28857
2886000323337
2886002020017
2886004066709
2886004948191
2886005113726
2886006154507
2886007834106
2886009107538
2886011013009
2886011044804
2886011062609
2886011097504
2886011139108
2886011170403
2886011179556
2886011195507
2886011205839
2886011212007
2886011222009
2886011237502
2886011246304
2886011257507
2886011263207
2886011265910
2886011360409
2886011400858
2886011419003
2886011419204
2886011470159
2886011507503
2886011553745
2886011563004
2886011581482
2886011582707
2886011585954
2886011596301
2886011659030
2886011675607
2886011683300
2886011687007
2886011759000
2886011817003
2886011832630
2886011843207
2886011857308
2886011862409
2886011919105
2886011920751
2886011973803
2886012645902
2886013001308
2886013023009
2886013051802
2886013313410
2886013313523
2886013321507
2886013321709
2886013616003
2886013619005
2886013634869
2886013638008
2886013648018
2886013652007
2886013763106
2886013830009
2886014334519
2886014337014
2886015014369
2886015031491
2886015072745
2886015167201
2886015248415
2886015607151
2886015609322
2886016770806
2886018254323
2886018335809
288601908814
2886020205804
2886024643955
2886028781596
2886031460628
2886031552921
2886032147830
2886032644471
2886034730580
2886035465996
2886038044416
2886039519557
2886040330724
2886041533070
2886041945600
2886042165273
2886042274965
2886042527502
2886044404870
2886048229828
2886049058410
288611197809
288611206708
288611225123
288611239562
288611400759
288611507975
288613042800
2886133/10208
288613821008
288615151215
288615266705
288617007647
288622822320
288625376243
288633782613
288634775036
2886400/32619
288644326938
28865
28870
2887000101967
2887000110619
2887000111267
2887000112824
2887000113495
2887000113532
2887000115037
2887000115413
2887000115689
2887000418306
2887000419364
2887000441040
2887000703034
2887000704084
2887000705438
2887000705453
2887000705883
2887000710548
2887000711437
2887000712800
2887000714406
2887000715536
2887000715624
2887000715745
2887000715796
2887000716007
2887000717691
288700101223
288700101967
2887001117463
288700117133
2887001300044
2887001300214
2887001300454
2887001300630
2887001300794
2887001301012
2887001301631
2887001302393
2887001302543
2887001500056
2887001800954
2887001929321
2887001932239
2887001934055
2887001935249
2887002500746
2887002503025
2887002505508
2887002505581
2887002505661
2887002506011
288700450331
288700606725
2887010325582
2887012709164
288701300309
288701300671
288701302159
2887013412952
2887013504545
288701402154
2887015122543
2887018313000
2887018916006
288701929275
288701934351
288701935395
2887020614280
2887023510004
2887023740435
2887023833551
288702500658
288702503267
2887025600916
2887025829015
2887031132597
2887031239105
2887031346300
2887034747500
2887035032515
2887035540056
2887037511515
2887038226555
288710316002
288710349515
288712926501
2887211/07503
288729444848
288753744
28876
28879
2888000110656
2888000114562
2888000114780
2888000146409
2888000151300
2888000162648
2888000165722
2888000170895
2888000173707
2888000175644
2888000185069
2888000185826
2888000213646
2888000218007
2888000230157
2888000230405
2888000232502
2888000236507
2888000245904
2888000254002
2888000263105
2888000264163
2888000266802
2888000267710
2888000272404
2888000281606
2888000282158
2888000283118
2888000285281
2888000286589
2888000292560
2888000292804
2888000293755
2888000313063
2888000313248
2888000318866
2888000325322
2888000331209
2888000345489
2888000346804
2888000347046
2888000347206
2888000355659
2888000358938
2888000372739
2888000379606
2888000381409
2888000429944
2888000436354
2888000438306
2888000438389
2888000446001
2888000473002
2888000475908
2888000483004
2888000500648
2888000754506
2888001114303
2888001117200
2888001126131
2888001149400
2888001161107
2888001168401
2888001175009
2888001210304
288800121504
2888001232760
2888001237902
2888001247808
2888001248404
2888001266606
2888001311702
2888001326155
2888001329405
2888001409309
2888001409500
2888001422001
2888001422202
2888001430307
2888001434100
2888001447506
2888001463902
288800153343
2888001804228
2888001821132
2888001830166
2888001855885
2888001863331
2888001869128
2888001916557
2888001923200
288800223359
288800233529
288800285846
2888003011002
2888003111002
288800331258
2888003376508
288800346804
288800429944
2888004373500
288800438389
288800441005
288800448211
288800467349
2888004900505
2888010209500
288801113705
2888011615341
2888012117280
288801230002
288801247808
2888013701313
2888013802878
2888014006619
288801801338
288801804228
2888019100695
288801925444
288801926999
2888019510674
288801956113
2888020913359
2888021113308
2888022511203
2888025907514
2888025917357
2888030606050
2888030719146
2888031109778
2888032716006
2888034001995
2888034015529
2888037214620
2888037304308
2888038405386
2888039110637
2888040010915
2888043311664
2888045016301
2888045505722
2888046401325
288804731504
288804852505
288811216541
288811615341
288817400127
288819554
288819606263
288823814627
288830105590
288831312104
288840008830
288840313419
288845206411
2889006014565
2889007807922
2889007814606
2889007815836
2889007816721
2889007818504
2889007819562
2889007841231
2889007841385
2889007841691
2889007841896
2889007842344
2889007842919
2889007843863
2889007844995
2889007847532
2889007847734
2889007848132
2889007848606
2889007849392
2889007849576
2889007910663
2889007911501
2889007933201
2889007941347
2889007941686
2889007942035
2889007950148
2889007950211
2889007963334
2889008012732
2889008013660
2889008014364
2889008019030
2889008019127
2889008019739
2889008021113
2889008021873
2889008022913
2889008023229
2889008024003
2889015950115
2889018208401
2889032856214
2889035404038
2889036316221
2889040148609
2889040546312
2889042009605
2889045346200
2889046730605
2889046935408
2889047116800
2889048110908
2889048211105
2889048901279
2889049010040
2889078143912
288907843225
288907848157
288907850814
288907921762
288907928340
288907929535
288907962689
288908014364
288908026705
28891
288934344401
288936805901
288936860157
288940222825
288941420409
288948903167
2890
2890/491/60111
2890000710353
2890001245645
2890001428880
2890001910845
2890004511975
2890004640820
289000520130
2890006609623
2890008003885
2890008004013
289001008416
2890015437358
289001729258
2890019917670
2890021842797
2890022621581
2890022626968
2890022629397
2890025340509
2890026926416
2890032420464
2890035020300
2890036301332
2890037309259
2890037617650
289003820404
2890042126184
2890042837990
289004612483
2890047704013
2890047710908
2890047743801
2890047751422
2890047752192
2890047776203
2890047777403
2890047777429
2890048550454
2890048733436
2890048746713
2890048746975
2890048748064
2890048749693
2890048749889
2890048830591
2890048832012
2890048834544
2890048834983
2890048838371
2890048838428
2890048839035
2890048921423
2890048961661
2890048980376
2890048990185
2890049023679
2890049023734
2890049024077
2890049027542
2890049027773
2890049028503
2890049028625
2890049041454
2890049061480
2890049061536
2890049065082
2890049105445
2890049106038
2890049107296
2890049110121
2890049110284
2890049115384
2890049161313
2890049340712
2890049341503
2890049362514
2890049365453
2890049370034
2890049405369
2890049410038
2890049420142
2890049421360
2890049421839
2890049421901
2890049421968
2890049533485
2890049533531
2890049534042
2890049536430
2890049545061
2890049545828
2890049556555
2890049558363
2890049560243
2890049561818
2890049704446
2890049704884
2890049972326
2890049976179
2890049977073
2890049977233
2890049982394
2890090023505
289010506444
289014210712
289028226266
289034306347
289043835203
289047603849
289047604882
289047747983
289047775507
289048737801
289048835870
289048836196
289048921423
289049024107
289049024613
289049061480
289049062047
289049161313
289049355497
289049362563
289049365453
289049411175
289049531951
289049533774
289049541443
289049561525
289049576565
289049705133
289049973608
28909
2891/080/06737
2891000601178
2891006000058
2891006001314
2891006002068
2891006002084
2891006002612
2891006012916
2891006014385
2891006016241
2891006030465
2891006033669
2891007000994
2891007001435
2891007002000
2891007002092
2891007002250
2891007003084
2891007005956
2891007006319
2891007032337
2891007047439
2891007051294
2891007051874
2891007051882
2891008001312
2891008003556
2891008005115
2891008005947
2891008006375
2891008006623
2891008006795
2891008006957
2891008021052
2891008022430
2891008023206
2891008025466
2891008100524
2891014145110
2891016007948
2891017606472
2891018003715
2891018145011
2891031933004
2891035114416
2891035838411
2891037018012
2891037205553
2891039050526
2891041201692
2891041204436
2891042800553
2891042810146
2891060/07761
289106012631
289106014248
289106032619
289106500047
289106505573
289107033668
289107050494
289107051001
289108003402
2891091601476
289113542619
289115135406
289117815005
289132437815
289167868
28926
2893
28930/5926639
2893000101289
2893000501103
2893000559387
2893000931366
2893001229955
2893001702425
2893001803333
2893002012391
2893002107049
2893002500301
289300304085
2893003721848
2893003939539
2893003997544
2893004835397
2893005120038
2893005408122
289300554655
2893005708104
2893006104349
289300621209
289300626318
2893006917546
2893007401566
2893007410703
2893007460148
2893007904930
289300863350
2893008828089
2893008921497
2893008926259
2893009524763
2893011500568
2893012411137
2893014009439
2893014020831
2893014120462
2893014202054
2893014203975
2893014208114
2893014302610
2893014305605
2893014400818
2893014405249
2893014500581
2893014502309
2893014504829
2893014506353
2893014506707
2893014525228
2893014605905
2893014608133
2893014620638
2893014707640
2893014803863
2893014804514
2893014805250
2893014806613
2893014900196
2893014901219
2893015005693
2893015007530
2893015008155
2893015101898
289301510708
2893015144034
2893015302426
2893015307826
2893015400679
2893015401156
2893015401373
2893015500201
2893015501734
2893015502028
2893025000549
2893026301166
2893026900192
2893027002228
289302715308
2893030300619
2893030301694
